group_name,attr_name,unique
0,Albumin,['Nil']
0,Amor. Phos,['Nil']
0,Amor. Urates,['Nil']
0,Bacteria,['Nil']
0,Bilirubin,['Nil']
0,Blood,['Nil']
0,Blood Bag No :,['Nil']
0,Cal. Oxalate,['Nil']
0,Candida,['Nil']
0,Casts,['Nil' 'NIl']
0,Cellular,['Nil']
0,Corresponding Urine Suger,['Nil']
0,Corresponding urine sugar,['Nil' 'NIl' 'Nil.']
0,Corresponding urine sugar 1h 75gm,['Nil']
0,Cystine crystal,['Nil']
0,Dead Sperm,['Nil']
0,Default,['Nil']
0,Epithelial,['Nil']
0,Epithelial Cells,['Nil']
0,Epithelial cells,['Nil']
0,Ex. Phosphate,['Nil']
0,Fat Globules,['Nil']
0,Fungus,['Nil']
0,Gastric lavage for Biochemistry,['Nil' 'NIl' 'nil']
0,Granular,['Nil']
0,Hyaline,['Nil']
0,Ketones body,['Nil']
0,Leukocyte Esterase,['Nil']
0,Macrophage,['Nil']
0,Mucus,['Nil']
0,Muscle Fibres,['Nil']
0,Nitrate,['Nil']
0,Protein,['Nil']
0,Pus Cell,['Nil']
0,Pus Cells,['Nil']
0,Pus cells,['Nil' 'NIl']
0,R B C,['Nil']
0,RBC,['Nil']
0,RBC :,['Nil']
0,Reaction(PH),['Nil']
0,Reducing Substance,['Nil']
0,Sedimen :,['Nil']
0,Sediment,['Nil']
0,Sp. Gravity,['Nil']
0,Spermatozoa,['Nil']
0,Starch,['Nil']
0,Stool R/S,['Nil']
0,Sugar,['Nil']
0,Total count Of WBC :,['Nil /cmm']
0,Trichomonas Vaginalis,['Nil']
0,Triple Phos,['Nil']
0,Urates,['Nil']
0,Uric Acid,['Nil']
0,Urine for sugar,['Nil']
0,Urobilinogen,['Nil']
0,Vegetable Cells,['Nil']
0,W B C,['Nil']
0,WBC :,['Nil']
0,Yeast,['Nil']
0,Yeasts,['Nil']
1,#,['Spermatozoa- Present']
1,*Polymyxin B,['SI']
1,1. HBsAg,['Nagetive']
1,2.  Anti HCV,['Postive']
1,2. Anti HCV,['Nagetive']
1,3. HIV I & II,['Nagetive']
1,4. Syphilis (VDRL),['Non Reactivetive']
1,5. Malarial Parasite (ICT),['Nagetive']
1,AFB,"['Specimen contain mostly saliva and is not suitable for microbiological evaluation.\n\nPlease repeat with appropriate specimen.'
 'Specimen contain mostly saliva and is not suitable for microbiological evaluation.\nPlease repeat with appropriate specimen.'
 'Specimen contain mostly saliva and is not suitable for microbiological evaluation.']"
1,Albumin,['(++)' '(+)' 'Trace' '(+++)']
1,Amor. Phos,['(+)']
1,Amor. Urates,['Not Done' 'Few' '(+)']
1,Amoxyclave,['M']
1,Appearance,['Turbid' 'Hazy']
1,Appearance :,['Hazy' 'Hazzy' 'Turbid']
1,Appearance/Color,['Greyish White']
1,B.J. Protein,['Not Done']
1,BAL for fungul (GMS) stain,['No fungal element identified.']
1,Bacteria,['(+)']
1,Bile Pigment,['Not Done']
1,Bile Salt,['Not Done']
1,Bilirubin,['(+)' '+' 'Not Done']
1,Blood,['(++)' '(+)' '(+++)' '+++' 'Trace' '+' '++']
1,Blood Bag No :,['(+)' '(+++)' '(++)' 'Trace']
1,Blood Component :,"['PRBC' 'Whole Blood' 'Whole blood' 'CCP' 'FFP' 'Platelet Apheresis'
 'Platelet Concentrate' 'Washed PRBC' 'Packed cell' 'RCC'
 'Fresh Frozen Plasma' 'Fresh Plasma' 'whole Blood' 'Platelet  Apheresis']"
1,Blood Group :,"['""O""' '""A""' '""AB""' '""B""' 'O' 'B' ""''B''"" ""''O''"" ""''A''"" ""''AB''"" 'AB'
 '\'\'A""' '""B"":']"
1,Blood Group: ABO,"['""O""' '""AB""' '""B""' '""A""' '""O""`' '""A""`']"
1,Blood glucose 2hrs ABF,['(+)']
1,Blood glucose level,['(+++)']
1,Budding yeast,['(+)' 'a few' '(++)' 'A few']
1,CFT-Filaria,['Moderately Positive' 'Moderately positive']
1,Cal. Oxalate,['(+)' 'A few' '(++)' 'Few' 'Plenty']
1,Candida,['A few' '(+)']
1,Cellular,['a few' '(+)' 'Few']
1,Color,"['Brown' 'Yellowish' 'Greenish' 'Yellow' 'Whitish' 'Redish' 'Blackish'
 'Reddish' 'Whitiesh']"
1,Colour,"['Turbid' 'L YELLOW' 'YELLOW' 'Orange' 'Reddish' 'Yellow' 'Amber'
 'Dark Brown' 'Yellowish' 'RED' 'AMBER' 'Cloudy' 'Deep starw' 'Watery'
 'Whitish']"
1,Colour :,['Reddish' 'Yellow']
